,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
43,Jimi Hendrix,Blues,17.67,24.17,36.79,17.67,24.17,36.79,17.86,24.43,36.39,17.67,24.17,36.0,17.29,23.65,35.61,17.48,23.91,36.0
44,Joe Sample,Rainbow Seeker,3.76,8.3,23.48,3.76,8.3,23.48,3.8,8.39,23.74,3.76,8.3,23.48,3.68,8.12,22.98,3.7199999999999998,8.21,23.23
45,Joe Sample,David T. Walker - Swing Street Cafe,2.73,5.2,18.6,2.73,5.2,18.6,2.76,5.25,18.8,2.73,5.2,18.6,2.68,5.09,18.2,2.7,5.14,18.4
46,John Barry,Dances With Wolves (Original Motion Picture Soundtrack),4.06,13.53,35.77,4.06,13.53,35.77,4.1,13.14,35.38,4.06,13.0,35.0,3.9699999999999998,12.72,34.25,4.01,12.86,34.62
47,The London Symphony Orchestra And Chambre Choir*,Tommy / As Performed By The London Symphony Orchestra And Chambre Choir With Guest Soloists,1.0,5.04,37.2,1.0,5.04,37.2,1.0,5.04,37.6,0.99,4.99,37.2,0.97,4.88,36.4,0.98,4.94,36.8
48,Los Cachaos,Samba Rumba Y Cha Cha Cha,10.78,10.78,10.78,10.78,10.78,10.78,10.9,10.9,10.9,10.78,10.78,10.78,10.55,10.55,10.55,10.67,10.67,10.67
49,Luca Barbarossa,Al Di Là Del Muro,0.88,1.96,9.78,0.88,1.96,9.78,0.89,1.98,9.88,0.88,1.96,9.78,0.86,1.92,9.57,0.87,1.94,9.67
50,Luigi Tenco,Agli Amici Cantautori,3.87,6.77,11.62,3.87,6.77,11.62,3.92,6.84,11.75,3.87,6.77,11.62,3.79,6.63,11.38,3.83,6.7,11.5
51,Madonna,Like A Prayer,3.39,5.74,22.91,3.39,5.74,22.91,3.42,5.8,23.15,3.39,5.74,22.91,3.31,5.62,22.41,3.35,5.68,22.66
52,Madonna,Like A Virgin,4.03,9.05,20.22,4.03,9.05,20.22,4.08,9.14,20.43,4.03,9.05,20.22,3.95,8.85,19.78,3.99,8.95,20.0
53,Madonna,The First Album,4.0,10.0,29.99,4.0,10.0,29.99,4.04,10.11,30.31,4.0,10.0,29.99,3.91,9.78,29.35,3.96,9.89,29.67
54,Madonna,True Blue,4.54,7.23,15.5,4.54,7.23,15.5,4.44,6.97,15.16,4.39,6.9,15.0,3.91,6.11,14.68,3.96,6.18,14.84
55,Marvin Gaye & Tammi Terrell,United,12.95,22.89,31.41,12.95,22.89,31.41,13.09,23.14,31.75,12.95,22.89,31.41,12.67,22.4,30.74,12.97,23.36,34.95
56,Mel Lewis,Live In Montreux,6.5600000000000005,6.62,13.23,6.5600000000000005,6.62,13.23,6.63,6.69,13.38,6.5600000000000005,6.62,13.23,6.42,6.47,12.95,6.49,6.55,13.09
57,Michael Jackson,Bad,8.99,15.45,40.0,8.99,15.45,40.0,9.09,15.62,40.43,0.9500000000000001,15.45,40.0,0.93,15.12,39.14,0.9400000000000001,15.28,39.57
58,Mike Oldfield,Amarok,9.1,16.89,40.43,9.1,16.89,40.43,9.1,18.19,40.43,8.9,17.8,39.57,7.91,16.46,39.57,8.0,16.64,40.0
59,Mike Oldfield,Earth Moving,2.55,5.11,10.22,2.55,5.11,10.22,2.58,5.16,10.33,2.55,5.11,10.22,2.5,5.0,10.0,2.5300000000000002,5.05,10.11
60,Mike Oldfield,Five Miles Out,1.01,6.6,12.25,1.01,6.6,12.25,1.02,6.67,12.39,1.01,6.6,12.25,0.99,6.46,11.99,1.0,6.53,12.12
61,Mike Oldfield,Platinum,3.59,7.93,12.93,3.59,7.93,12.93,3.63,8.01,13.07,3.59,7.93,12.93,3.51,7.76,12.66,3.55,7.84,12.79
62,Mike Oldfield,QE2,1.45,4.65,10.22,1.45,4.65,10.22,1.45,4.6,10.0,1.44,4.55,9.89,1.4,4.45,9.68,1.42,4.5,9.79
63,Mike Oldfield,Tubular Bells,3.0,7.94,15.0,3.0,7.94,15.0,3.03,8.03,15.16,3.0,7.94,15.0,2.94,7.77,14.68,2.9699999999999998,7.86,14.84
64,Mike Oldfield,Tubular Bells II,6.15,13.07,40.42,6.15,13.07,40.42,6.21,13.21,40.86,6.15,13.07,40.42,6.01,12.79,39.56,6.08,12.93,39.99
65,Mina (3),Cassiopea (Italian Songbook),10.23,26.76,37.2,10.23,26.76,37.2,10.34,27.05,37.6,10.23,26.76,37.2,10.01,26.19,36.4,10.12,26.48,36.8
66,Mungo Jerry,In The Summertime,0.49,1.73,3.96,0.49,1.73,3.96,0.5,1.75,4.0,0.49,1.73,3.96,0.49,1.71,3.91,0.49,1.73,3.96
67,New Trolls,Aldebaran,9.02,17.97,18.06,9.02,17.97,18.06,9.12,18.16,18.25,9.02,17.97,18.06,8.83,17.58,17.67,8.92,17.77,17.86
68,New Trolls,Concerto Grosso N° 2,9.79,18.6,58.74,9.79,18.6,58.74,9.89,18.8,59.37,9.79,18.6,58.74,9.58,18.2,57.47,9.68,18.4,58.11
69,New Trolls,Senza Orario Senza Bandiera,5.0,10.0,19.99,5.0,10.0,19.99,5.05,10.11,20.2,5.0,10.0,19.99,4.89,9.78,19.56,4.95,9.89,19.78
70,New Trolls,UT,13.26,50.54,126.36,13.26,50.54,126.36,13.41,51.09,127.72,13.26,50.54,126.36,12.98,49.46,123.64,13.12,50.0,125.0
71,The Notting Hillbillies,Missing... Presumed Having A Good Time,2.02,7.14,15.16,2.02,7.14,15.16,2.04,7.21,15.33,2.02,7.14,15.16,1.98,6.98,14.84,2.0,7.06,15.0
72,Orchestra «Pro Arte» Di Monaco* / Kurt Redel,"Il Canone Di Pachelbel, Il Largo Di Handel, L'Aria Di Bach (E Altre Loro Celebri Composizioni)",5.54,6.37,7.2,5.54,6.37,7.2,5.6,6.43,7.27,5.54,6.37,7.2,5.42,6.23,7.04,5.48,6.3,7.12
73,Pat Metheny Group,Still Life (Talking),7.0,12.45,33.0,7.0,12.45,33.0,7.08,12.58,33.35,7.0,12.45,33.0,6.85,12.18,32.29,6.92,12.32,32.65
74,Pink Floyd,Animals,7.08,22.74,45.49,7.08,22.74,45.49,7.15,22.98,45.98,6.93,20.78,44.52,6.78,20.33,43.56,7.08,21.18,45.49
