Artist,Title,Collection,Min,Median,Higher,Min_230529,Median_230529,Higher_230529,Min_230607,Median_230607,Higher_230607,Min_230612,Median_230612,Higher_230612,Min_230619,Median_230619,Higher_230619,Min_230626,Median_230626,Higher_230626,Min_230703,Median_230703,Higher_230703,Min_230711,Median_230711,Higher_230711,Min_230717,Median_230717,Higher_230717
Fausto Papetti,"39a Raccolta - ""Sax' Idea""",2021 Second Hand,0.98,7.82,14.66,0.98,7.82,14.66,0.99,7.91,14.82,0.98,7.82,14.66,0.96,7.65,14.35,0.97,7.74,14.51,0.97,7.74,14.51,0.96,14.35,14.35,0.9400000000000001,14.03,14.03
Fernandez Pray Und Sein Orchester,Midnight In Rio,45,1.92,4.79,5.74,1.92,4.79,5.74,1.94,4.85,5.8,1.92,4.79,5.74,1.88,4.69,5.62,1.9,4.74,5.68,1.9,4.74,5.68,1.88,5.62,5.62,1.8399999999999999,5.5,5.5
Fleetwood Mac,Mirage,2022 Second Hand,3.06,6.03,10.22,3.06,6.03,10.22,3.09,6.09,10.33,2.99,5.95,12.08,2.93,5.82,11.82,2.96,5.88,11.95,2.96,5.88,11.95,2.93,11.82,11.82,2.86,11.56,11.56
Battiato*,L'Era Del Cinghiale Bianco,Father Collection,29.0,58.56,180.0,29.0,58.56,180.0,29.31,59.19,181.94,29.0,58.56,180.0,28.38,57.3,176.13,28.69,57.93,178.06,28.69,57.93,178.06,21.76,178.04,178.04,21.28,174.13,174.13
Franco Cerri,Nuages,Original Collection Italy,18.98,26.05,52.19,18.98,26.05,52.19,19.18,26.33,52.76,18.98,26.05,52.19,18.57,25.49,51.07,18.78,25.77,51.63,18.78,25.77,51.63,18.57,51.07,51.07,18.16,49.95,49.95
Frank Zappa,Orchestral Favorites,Original Collection Italy,4.65,11.62,13.95,4.65,11.62,13.95,5.05,12.13,15.16,5.0,12.0,15.0,4.89,11.74,14.68,4.95,11.87,14.84,4.95,11.87,14.84,4.89,14.68,14.68,4.78,14.35,14.35
Genesis,Live,2023 Second Hand,2.37,6.24,15.16,2.37,6.24,15.16,2.39,6.3,15.33,2.34,5.67,15.0,2.29,5.55,14.68,2.37,5.73,15.16,2.37,5.73,15.16,2.31,14.84,14.84,2.31,14.83,14.83
Gianna Nannini,Maschi E Altri,Original Collection Italy,2.55,9.7,38.32,2.55,9.7,38.32,2.58,9.81,38.74,2.55,9.7,38.32,2.5,9.49,37.5,2.53,9.6,37.91,2.53,9.6,37.91,2.5,37.5,37.5,2.45,36.68,36.68
Graciela Guevara,Graciela Guevara,Original Collection Italy,21.57,21.57,21.57,21.57,21.57,21.57,21.8,21.8,21.8,21.57,21.57,21.57,21.1,21.1,21.1,21.34,21.34,21.34,21.34,21.34,21.34,21.1,21.1,21.1,20.64,20.64,20.64
James Taylor (2),James Taylor's Greatest Hits,2023 Second Hand,1.47,3.5,14.73,1.47,3.5,14.73,1.49,3.54,14.89,1.47,3.5,14.73,1.44,3.42,14.42,1.46,3.46,14.57,1.46,3.46,14.57,1.44,14.42,14.42,1.4100000000000001,14.1,14.1
Jimi Hendrix,Blues,Original Collection,17.67,24.17,36.79,17.67,24.17,36.79,17.86,24.43,36.39,17.67,24.17,36.0,17.29,23.65,35.61,17.48,23.91,36.0,17.48,23.91,36.4,17.29,36.0,36.0,16.91,35.21,35.21
Joe Sample,Rainbow Seeker,2023 Second Hand,3.76,8.3,23.48,3.76,8.3,23.48,3.8,8.39,23.74,3.76,8.3,23.48,3.68,8.12,22.98,3.72,8.21,23.23,3.72,8.21,23.23,3.68,22.98,22.98,4.0,25.0,25.0
Joe Sample,David T. Walker - Swing Street Cafe,2021 Second Hand,2.73,5.2,18.6,2.73,5.2,18.6,2.76,5.25,18.8,2.73,5.2,18.6,2.68,5.09,18.2,2.7,5.14,18.4,1.83,4.95,18.4,1.81,18.2,18.2,1.77,17.8,17.8
John Barry,Dances With Wolves (Original Motion Picture Soundtrack),Original Collection Italy,4.06,13.53,35.77,4.06,13.53,35.77,4.1,13.14,35.38,4.06,13.0,35.0,3.97,12.72,34.25,4.01,12.86,34.62,4.06,12.94,22.06,4.02,21.82,21.82,3.93,21.34,21.34
The London Symphony Orchestra And Chambre Choir*,Tommy / As Performed By The London Symphony Orchestra And Chambre Choir With Guest Soloists,Original Collection Italy,1.0,5.04,37.2,1.0,5.04,37.2,1.0,5.04,37.6,0.99,4.99,37.2,0.97,4.88,36.4,0.98,4.94,36.8,0.98,4.94,36.8,0.98,36.4,36.4,0.96,35.6,35.6
Los Cachaos,Samba Rumba Y Cha Cha Cha,Original Collection Italy,10.78,10.78,10.78,10.78,10.78,10.78,10.9,10.9,10.9,10.78,10.78,10.78,10.55,10.55,10.55,10.67,10.67,10.67,10.67,10.67,10.67,10.55,10.55,10.55,10.32,10.32,10.32
Luca Barbarossa,Al Di Là Del Muro,Original Collection Italy,0.88,1.96,9.78,0.88,1.96,9.78,0.89,1.98,9.88,0.88,1.96,9.78,0.86,1.92,9.57,0.87,1.94,9.67,0.9,2.0,9.99,0.89,9.88,9.88,0.87,9.66,9.66
Luigi Tenco,Agli Amici Cantautori,Original Collection Italy,3.87,6.77,11.62,3.87,6.77,11.62,3.92,6.84,11.75,3.87,6.77,11.62,3.79,6.63,11.38,3.83,6.7,11.5,3.83,6.7,11.5,3.96,11.87,11.87,3.87,11.61,11.61
Madonna,Like A Prayer,Original Collection Italy,3.39,5.74,22.91,3.39,5.74,22.91,3.42,5.8,23.15,3.39,5.74,22.91,3.31,5.62,22.41,3.35,5.68,22.66,3.35,5.68,22.66,3.4,22.98,22.98,3.32,22.48,22.48
Madonna,Like A Virgin,Original Collection Italy,4.03,9.05,20.22,4.03,9.05,20.22,4.08,9.14,20.43,4.03,9.05,20.22,3.95,8.85,19.78,3.99,8.95,20.0,3.99,9.0,20.0,3.95,19.78,19.78,3.86,19.35,19.35
Madonna,The First Album,Original Collection Italy,4.0,10.0,29.99,4.0,10.0,29.99,4.04,10.11,30.31,4.0,10.0,29.99,3.91,9.78,29.35,3.96,9.89,29.67,4.04,10.11,30.32,3.96,29.66,29.66,3.87,29.01,29.01
Madonna,True Blue,Original Collection Italy,4.54,7.23,15.5,4.54,7.23,15.5,4.44,6.97,15.16,4.39,6.9,15.0,3.91,6.11,14.68,3.96,6.18,14.84,3.96,6.18,14.84,3.91,14.68,14.68,3.83,14.35,14.35
Marvin Gaye & Tammi Terrell,United,Original Collection Rita,12.95,22.89,31.41,12.95,22.89,31.41,13.09,23.14,31.75,12.95,22.89,31.41,12.67,22.4,30.74,12.97,23.36,34.95,12.97,23.36,34.95,12.83,34.57,34.57,12.55,33.81,33.81
Mel Lewis,Live In Montreux,2021 Second Hand,6.5600000000000005,6.62,13.23,6.5600000000000005,6.62,13.23,6.63,6.69,13.38,6.5600000000000005,6.62,13.23,6.42,6.47,12.95,6.49,6.55,13.09,6.49,6.55,13.09,6.42,12.95,12.95,6.28,12.66,12.66
Michael Jackson,Bad,Original Collection Italy,8.99,15.45,40.0,8.99,15.45,40.0,9.09,15.62,40.43,0.95,15.45,40.0,0.93,15.12,39.14,0.94,15.28,39.57,0.94,15.28,39.57,0.93,39.14,39.14,0.91,38.28,38.28
Mike Oldfield,Amarok,2022 Second Hand,9.1,16.89,40.43,9.1,16.89,40.43,9.1,18.19,40.43,8.9,17.8,39.57,7.91,16.46,39.57,8.0,16.64,40.0,8.0,16.64,40.0,7.91,39.57,39.57,7.74,38.7,38.7
Mike Oldfield,Earth Moving,2021 Second Hand,2.55,5.11,10.22,2.55,5.11,10.22,2.58,5.16,10.33,2.55,5.11,10.22,2.5,5.0,10.0,2.53,5.05,10.11,2.53,5.05,10.11,2.5,10.0,10.0,2.45,9.78,9.78
Mike Oldfield,Five Miles Out,2023 Second Hand,1.01,6.6,12.25,1.01,6.6,12.25,1.02,6.67,12.39,1.01,6.6,12.25,0.99,6.46,11.99,1.0,6.53,12.12,1.0,6.53,12.12,0.99,11.99,11.99,0.97,11.73,11.73
Mike Oldfield,Platinum,2023 Second Hand,3.59,7.93,12.93,3.59,7.93,12.93,3.63,8.01,13.07,3.59,7.93,12.93,3.51,7.76,12.66,3.55,7.84,12.79,3.55,7.84,12.79,3.51,12.66,12.66,3.43,12.38,12.38
Mike Oldfield,QE2,2022 Second Hand,1.45,4.65,10.22,1.45,4.65,10.22,1.45,4.6,10.0,1.44,4.55,9.89,1.4,4.45,9.68,1.42,4.5,9.79,1.42,4.5,9.79,1.4,9.68,9.68,1.37,9.47,9.47
